triplets,co
"('1-9356C', '1-4126', '1-7807C')",1
"('1-9356C', '1-9156C', '1-4126')",1
"('1-9356C', '1-9156C', '1-7807C')",1
"('1-9356C', '1-7807C', '1-4126')",1
"('1-9356C', '1-7807C', '1-9156C')",1
"('1-9156C', '1-4126', '1-9356C')",1
"('1-9156C', '1-4126', '1-7807C')",1
"('1-9156C', '1-9356C', '1-4126')",1
"('1-9156C', '1-7807C', '1-4126')",1
"('1-7807C', '1-1131C', 'mlg76')",1
"('1-9156C', '1-7807C', '1-9356C')",1
"('1-7807C', '1-4126', '1-9356C')",1
"('1-7807C', '1-4126', '1-9156C')",1
"('1-7807C', '1-9356C', '1-4126')",1
"('1-7807C', '1-9356C', '1-9156C')",1
"('1-7807C', '1-9156C', '1-4126')",1
"('1-7807C', '1-9156C', '1-9356C')",1
"('mlg76', '1-7807C', '1-1131C')",1
"('mlg76', '1-1131C', '1-7807C')",1
"('1-7807C', 'mlg76', '1-1131C')",1
"('mlg24', 'mlg71', '1-4319C')",1
"('1-5829', 'mlg24', 'mlg71')",1
"('mlg65', '1-1317C', '1-7981')",1
"('mlg08', '1-2410', '1-8859C')",1
"('1-8066C', '1-7589', 'mlg03')",1
"('mlg65', 'mlg08', '1-2410')",1
"('mlg65', 'mlg08', '1-8859C')",1
"('mlg65', '1-2410', 'mlg08')",1
"('mlg65', '1-2410', '1-8859C')",1
"('mlg65', '1-8859C', 'mlg08')",1
"('mlg65', '1-8859C', '1-2410')",1
"('mlg08', 'mlg65', '1-2410')",1
"('mlg08', 'mlg65', '1-8859C')",1
"('mlg08', '1-2410', 'mlg65')",1
"('mlg08', '1-8859C', 'mlg65')",1
"('1-7589', '1-8066C', 'mlg03')",1
"('mlg08', '1-8859C', '1-2410')",1
"('1-2410', 'mlg65', 'mlg08')",1
"('1-2410', 'mlg65', '1-8859C')",1
"('1-2410', 'mlg08', 'mlg65')",1
"('1-2410', 'mlg08', '1-8859C')",1
"('1-2410', '1-8859C', 'mlg65')",1
"('1-2410', '1-8859C', 'mlg08')",1
"('1-8859C', 'mlg65', 'mlg08')",1
"('1-8859C', 'mlg65', '1-2410')",1
"('1-8859C', 'mlg08', 'mlg65')",1
"('1-8066C', 'mlg03', '1-7589')",1
"('1-7589', 'mlg03', '1-8066C')",1
"('1-5829', '1-4319C', 'mlg24')",1
"('mlg71', 'mlg24', '1-4319C')",1
"('1-5829', '1-4319C', 'mlg71')",1
"('1-5829', 'mlg71', 'mlg24')",1
"('1-5829', 'mlg71', '1-4319C')",1
"('1-4319C', 'mlg24', '1-5829')",1
"('1-4319C', 'mlg24', 'mlg71')",1
"('1-4319C', '1-5829', 'mlg24')",1
"('1-4319C', '1-5829', 'mlg71')",1
"('1-4319C', 'mlg71', 'mlg24')",1
"('1-4319C', 'mlg71', '1-5829')",1
"('mlg71', 'mlg24', '1-5829')",1
"('mlg71', '1-5829', 'mlg24')",1
"('mlg03', '1-8066C', '1-7589')",1
"('mlg71', '1-5829', '1-4319C')",1
"('mlg71', '1-4319C', 'mlg24')",1
"('mlg71', '1-4319C', '1-5829')",1
"('1-18050', '1-10981', '1-4747C')",1
"('1-18050', '1-4747C', '1-10981')",1
"('1-10981', '1-18050', '1-4747C')",1
"('1-10981', '1-4747C', '1-18050')",1
"('1-4747C', '1-18050', '1-10981')",1
"('1-4747C', '1-10981', '1-18050')",1
"('mlg03', '1-7589', '1-8066C')",1
"('1-4126', '1-7807C', '1-9356C')",1
"('1-4126', '1-9156C', '1-7807C')",1
"('1-4126', '1-9156C', '1-9356C')",1
"('mlg07', '1-6181C', '1-2113')",1
"('mlg07', '1-2410', '1-2113')",1
"('mlg07', '1-2410', '1-9156C')",1
"('mlg07', '1-2410', '1-6181C')",1
"('mlg07', '1-2113', '1-2410')",1
"('mlg07', '1-2113', '1-9156C')",1
"('mlg07', '1-2113', '1-6181C')",1
"('mlg07', '1-9156C', '1-2410')",1
"('mlg07', '1-9156C', '1-2113')",1
"('mlg07', '1-9156C', '1-6181C')",1
"('mlg07', '1-6181C', '1-2410')",1
"('mlg07', '1-6181C', '1-9156C')",1
"('1-1833C', '1-19443', '1-7140C')",1
"('1-2410', 'mlg07', '1-2113')",1
"('1-2410', 'mlg07', '1-9156C')",1
"('1-2410', 'mlg07', '1-6181C')",1
"('1-2410', '1-2113', 'mlg07')",1
"('1-2410', '1-2113', '1-9156C')",1
"('1-2410', '1-9156C', 'mlg07')",1
"('1-2410', '1-9156C', '1-2113')",1
"('1-2410', '1-9156C', '1-6181C')",1
"('1-2410', '1-6181C', 'mlg07')",1
"('1-2410', '1-6181C', '1-9156C')",1
"('1-1833C', '1-7140C', '1-19443')",1
"('1-7140C', '1-1833C', '1-19443')",1
"('1-4126', '1-9356C', '1-7807C')",1
"('1-1317C', 'mlg65', '1-7981')",1
"('1-7981', 'mlg65', '1-4929C')",1
"('1-7981', 'mlg65', '1-1317C')",1
"('1-7981', '1-4929C', 'mlg65')",1
"('1-7981', '1-4929C', '1-1317C')",1
"('1-7981', '1-1317C', 'mlg65')",1
"('1-7981', '1-1317C', '1-4929C')",1
"('1-4929C', 'mlg65', '1-7981')",1
"('1-4929C', '1-7981', 'mlg65')",1
"('1-4929C', '1-7981', '1-1317C')",1
"('1-4929C', '1-1317C', '1-7981')",1
"('1-1317C', '1-7981', 'mlg65')",1
"('1-7140C', '1-19443', '1-1833C')",1
"('1-1317C', '1-7981', '1-4929C')",1
"('1-1317C', '1-4929C', '1-7981')",1
"('1-8974', '1-8836', '1-9156C')",1
"('1-8974', '1-9156C', '1-8836')",1
"('1-8836', '1-8974', '1-9156C')",1
"('1-8836', '1-9156C', '1-8974')",1
"('1-9156C', '1-8974', '1-8836')",1
"('1-9156C', '1-8836', '1-8974')",1
"('1-19443', '1-7140C', '1-1833C')",1
"('1-19443', '1-1833C', '1-7140C')",1
"('1-2113', 'mlg07', '1-2410')",1
"('1-2113', 'mlg07', '1-9156C')",1
"('1-2113', 'mlg07', '1-6181C')",1
"('1-6295', '1-8814C', '1-3716')",1
"('1-6181C', '1-9156C', 'mlg07')",1
"('1-6181C', '1-9156C', '1-2410')",1
"('1-6181C', '1-9156C', '1-2113')",1
"('1-1015', '1-10078', '1-8098C')",1
"('1-1015', '1-8098C', '1-10078')",1
"('1-10078', '1-1015', '1-8098C')",1
"('1-10078', '1-8098C', '1-1015')",1
"('1-8098C', '1-1015', '1-10078')",1
"('1-8098C', '1-10078', '1-1015')",1
"('1-6295', '1-3716', '1-8814C')",1
"('1-3716', '1-6295', '1-8814C')",1
"('1-2113', '1-2410', 'mlg07')",1
"('1-3716', '1-8814C', '1-6295')",1
"('1-8814C', '1-6295', '1-3716')",1
"('1-8814C', '1-3716', '1-6295')",1
"('mlg76', '1-8818C', '1-8124C')",1
"('mlg76', '1-8124C', '1-8818C')",1
"('1-8818C', 'mlg76', '1-8124C')",1
"('1-8818C', '1-8124C', 'mlg76')",1
"('1-8124C', 'mlg76', '1-8818C')",1
"('1-8124C', '1-8818C', 'mlg76')",1
"('1-4126', '1-9356C', '1-9156C')",1
"('1-6181C', '1-2113', '1-9156C')",1
"('1-6181C', '1-2113', 'mlg07')",1
"('1-6181C', '1-2410', '1-9156C')",1
"('1-6181C', '1-2410', 'mlg07')",1
"('1-2113', '1-2410', '1-9156C')",1
"('1-2113', '1-9156C', 'mlg07')",1
"('1-2113', '1-9156C', '1-2410')",1
"('1-2113', '1-9156C', '1-6181C')",1
"('1-2113', '1-6181C', 'mlg07')",1
"('1-2113', '1-6181C', '1-9156C')",1
"('1-9156C', 'mlg07', '1-2410')",1
"('1-9156C', 'mlg07', '1-2113')",1
"('1-9156C', 'mlg07', '1-6181C')",1
"('1-9156C', '1-2410', 'mlg07')",1
"('1-9156C', '1-2410', '1-2113')",1
"('1-9156C', '1-2410', '1-6181C')",1
"('1-9156C', '1-2113', 'mlg07')",1
"('1-9156C', '1-2113', '1-2410')",1
"('1-9156C', '1-2113', '1-6181C')",1
"('1-9156C', '1-6181C', 'mlg07')",1
"('1-9156C', '1-6181C', '1-2410')",1
"('1-9156C', '1-6181C', '1-2113')",1
"('1-6181C', 'mlg07', '1-2410')",1
"('1-6181C', 'mlg07', '1-2113')",1
"('1-6181C', 'mlg07', '1-9156C')",1
"('1-1317C', '1-8814C', 'mlg18')",1
"('1-9105', 'mlg77', '1-2245')",1
"('1-9356C', '1-4319C', '1-9156C')",1
"('mlg26', '1-8810', '1-9156C')",1
"('1-5355C', '1-2276', '1-8067C')",1
"('1-5355C', '1-2244', '1-2276')",1
"('1-5355C', '1-2244', '1-1895')",1
"('1-5355C', '1-2244', '1-8067C')",1
"('1-5355C', '1-1895', '1-2276')",1
"('1-5355C', '1-1895', '1-2244')",1
"('1-5355C', '1-1895', '1-8067C')",1
"('1-5355C', '1-8067C', '1-2276')",1
"('1-5355C', '1-8067C', '1-2244')",1
"('1-5355C', '1-8067C', '1-1895')",1
"('mlg26', '1-5099', '1-9156C')",1
"('1-5355C', '1-2276', '1-2244')",1
"('mlg26', '1-9156C', '1-8810')",1
"('mlg26', '1-9156C', '1-5099')",1
"('1-8974', '1-8810', '1-9156C')",1
"('1-8974', '1-5099', '1-9156C')",1
"('1-8974', '1-9156C', '1-8810')",1
"('1-8974', '1-9156C', '1-5099')",1
"('1-8810', 'mlg26', '1-9156C')",1
"('1-8810', '1-8974', '1-9156C')",1
"('1-8810', '1-5099', '1-9156C')",1
"('1-8810', '1-9156C', 'mlg26')",1
"('1-5355C', '1-2276', '1-1895')",1
"('1-8067C', '1-5355C', '1-1895')",1
"('1-8810', '1-9156C', '1-5099')",1
"('1-1895', '1-5355C', '1-2244')",1
"('1-1895', '1-2276', '1-2244')",1
"('1-1895', '1-2276', '1-8067C')",1
"('1-1895', '1-2276', '1-5355C')",1
"('1-1895', '1-2244', '1-2276')",1
"('1-1895', '1-2244', '1-8067C')",1
"('1-1895', '1-2244', '1-5355C')",1
"('1-1895', '1-8067C', '1-2276')",1
"('1-1895', '1-8067C', '1-2244')",1
"('1-1895', '1-8067C', '1-5355C')",1
"('1-1895', '1-5355C', '1-2276')",1
"('1-1895', '1-5355C', '1-8067C')",1
"('1-8067C', '1-5355C', '1-2244')",1
"('1-8067C', '1-2276', '1-2244')",1
"('1-8067C', '1-2276', '1-1895')",1
"('1-8067C', '1-2276', '1-5355C')",1
"('1-8067C', '1-2244', '1-2276')",1
"('1-8067C', '1-2244', '1-1895')",1
"('1-8067C', '1-2244', '1-5355C')",1
"('1-8067C', '1-1895', '1-2276')",1
"('1-8067C', '1-1895', '1-2244')",1
"('1-8067C', '1-1895', '1-5355C')",1
"('1-8067C', '1-5355C', '1-2276')",1
"('1-8810', '1-9156C', '1-8974')",1
"('1-5099', 'mlg26', '1-9156C')",1
"('1-2244', '1-5355C', '1-1895')",1
"('1-9518', '1-4169', '1-6098C')",1
"('1-6098C', 'mlg50', '1-9753')",1
"('1-6098C', '1-9753', 'mlg50')",1
"('1-1833C', 'mlg50', '1-9753')",1
"('1-1833C', '1-9753', 'mlg50')",1
"('1-1224C', 'mlg50', '1-9753')",1
"('1-1224C', '1-9753', 'mlg50')",1
"('1-9518', '1-9013', '1-4169')",1
"('1-9518', '1-9013', '1-8646C')",1
"('1-9518', '1-4169', '1-9013')",1
"('1-9518', '1-4169', '1-8646C')",1
"('1-9518', '1-8646C', '1-9013')",1
"('1-9753', '1-1833C', 'mlg50')",1
"('1-9518', '1-8646C', '1-4169')",1
"('1-9518', '1-6098C', '1-4169')",1
"('1-9013', '1-9518', '1-4169')",1
"('1-9013', '1-9518', '1-8646C')",1
"('1-9013', '1-4169', '1-9518')",1
"('1-9013', '1-4169', '1-8646C')",1
"('1-9013', '1-4169', '1-6098C')",1
"('1-9013', '1-8646C', '1-9518')",1
"('1-9013', '1-8646C', '1-4169')",1
"('1-9013', '1-8646C', '1-6098C')",1
"('1-9753', '1-1224C', 'mlg50')",1
"('1-9753', '1-6098C', 'mlg50')",1
"('1-5099', '1-8974', '1-9156C')",1
"('1-9156C', '1-8810', '1-5099')",1
"('1-5099', '1-8810', '1-9156C')",1
"('1-5099', '1-9156C', 'mlg26')",1
"('1-5099', '1-9156C', '1-8974')",1
"('1-5099', '1-9156C', '1-8810')",1
"('1-9156C', 'mlg26', '1-8810')",1
"('1-9156C', 'mlg26', '1-5099')",1
"('1-9156C', '1-8974', '1-8810')",1
"('1-9156C', '1-8974', '1-5099')",1
"('1-9156C', '1-8810', 'mlg26')",1
"('1-9156C', '1-8810', '1-8974')",1
"('1-9156C', '1-5099', 'mlg26')",1
"('1-9753', 'mlg50', '1-1224C')",1
"('1-9156C', '1-5099', '1-8974')",1
"('1-9156C', '1-5099', '1-8810')",1
"('mlg50', '1-9753', '1-6098C')",1
"('mlg50', '1-9753', '1-1833C')",1
"('mlg50', '1-9753', '1-1224C')",1
"('mlg50', '1-6098C', '1-9753')",1
"('mlg50', '1-1833C', '1-9753')",1
"('mlg50', '1-1224C', '1-9753')",1
"('1-9753', 'mlg50', '1-6098C')",1
"('1-9753', 'mlg50', '1-1833C')",1
"('1-2244', '1-5355C', '1-8067C')",1
"('1-2244', '1-5355C', '1-2276')",1
"('1-9013', '1-6098C', '1-8646C')",1
"('1-7863C', 'mlg35', '1-9291C')",1
"('1-9356C', '1-10394', '1-6098C')",1
"('1-9356C', '1-6098C', '1-10394')",1
"('1-6098C', '1-10574', '1-10394')",1
"('1-6098C', '1-10394', '1-10574')",1
"('1-6098C', '1-10394', '1-9356C')",1
"('1-6098C', '1-9356C', '1-10394')",1
"('mlg35', '1-9291C', '1-7863C')",1
"('mlg35', '1-7863C', '1-9291C')",1
"('1-9291C', 'mlg35', '1-7863C')",1
"('1-9291C', '1-7863C', 'mlg35')",1
"('1-7863C', '1-9291C', 'mlg35')",1
"('1-10394', '1-6098C', '1-10574')",1
"('1-3605', '1-3586', '1-1191C')",1
"('1-3605', '1-1191C', '1-3586')",1
"('1-3586', '1-3605', '1-1191C')",1
"('1-3586', '1-1191C', '1-3605')",1
"('1-1191C', '1-3605', '1-3586')",1
"('1-1191C', '1-3586', '1-3605')",1
"('mlg33', 'mlg22', '1-0053C')",1
"('mlg33', '1-2545C', '1-0053C')",1
"('mlg33', '1-0053C', 'mlg22')",1
"('mlg33', '1-0053C', '1-2545C')",1
"('1-10394', '1-6098C', '1-9356C')",1
"('1-10394', '1-9356C', '1-6098C')",1
"('mlg22', '1-2545C', '1-0053C')",1
"('1-4929C', 'mlg66', '1-4966C')",1
"('1-4966C', '1-8038', '1-4052')",1
"('1-4966C', '1-8038', '1-4929C')",1
"('1-4966C', '1-4052', 'mlg66')",1
"('1-4966C', '1-4052', '1-8038')",1
"('1-4966C', '1-4052', '1-4929C')",1
"('1-4966C', '1-4929C', 'mlg66')",1
"('1-4966C', '1-4929C', '1-8038')",1
"('1-4966C', '1-4929C', '1-4052')",1
"('1-4929C', 'mlg66', '1-8038')",1
"('1-4929C', 'mlg66', '1-4052')",1
"('1-4929C', '1-8038', 'mlg66')",1
"('1-10394', '1-10574', '1-6098C')",1
"('1-4929C', '1-8038', '1-4052')",1
"('1-4929C', '1-8038', '1-4966C')",1
"('1-4929C', '1-4052', 'mlg66')",1
"('1-4929C', '1-4052', '1-8038')",1
"('1-4929C', '1-4052', '1-4966C')",1
"('1-4929C', '1-4966C', 'mlg66')",1
"('1-4929C', '1-4966C', '1-8038')",1
"('1-4929C', '1-4966C', '1-4052')",1
"('1-10574', '1-10394', '1-6098C')",1
"('1-10574', '1-6098C', '1-10394')",1
"('mlg22', 'mlg33', '1-0053C')",1
"('mlg22', '1-0053C', 'mlg33')",1
"('1-2244', '1-8067C', '1-5355C')",1
"('1-2276', '1-8067C', '1-5355C')",1
"('1-9270C', '1-8038', '1-4126')",1
"('1-9270C', '1-4126', '1-8038')",1
"('1-2276', '1-2244', '1-1895')",1
"('1-2276', '1-2244', '1-8067C')",1
"('1-2276', '1-2244', '1-5355C')",1
"('1-2276', '1-1895', '1-2244')",1
"('1-2276', '1-1895', '1-8067C')",1
"('1-2276', '1-1895', '1-5355C')",1
"('1-2276', '1-8067C', '1-2244')",1
"('1-2276', '1-8067C', '1-1895')",1
"('1-2276', '1-5355C', '1-2244')",1
"('1-9270C', '1-9207', '1-8038')",1
"('1-2276', '1-5355C', '1-1895')",1
"('1-2276', '1-5355C', '1-8067C')",1
"('1-2244', '1-2276', '1-1895')",1
"('1-2244', '1-2276', '1-8067C')",1
"('1-2244', '1-2276', '1-5355C')",1
"('1-2244', '1-1895', '1-2276')",1
"('1-2244', '1-1895', '1-8067C')",1
"('1-2244', '1-1895', '1-5355C')",1
"('1-2244', '1-8067C', '1-2276')",1
"('1-2244', '1-8067C', '1-1895')",1
"('1-9270C', '1-8038', '1-9207')",1
"('1-4126', '1-9270C', '1-8038')",1
"('mlg22', '1-0053C', '1-2545C')",1
"('1-19443', '1-5214C', 'mlg71')",1
"('1-2545C', 'mlg33', '1-0053C')",1
"('1-2545C', 'mlg22', '1-0053C')",1
"('1-2545C', '1-0053C', 'mlg33')",1
"('1-2545C', '1-0053C', 'mlg22')",1
"('1-0053C', 'mlg33', 'mlg22')",1
"('1-0053C', 'mlg33', '1-2545C')",1
"('1-0053C', 'mlg22', 'mlg33')",1
"('1-0053C', 'mlg22', '1-2545C')",1
"('1-0053C', '1-2545C', 'mlg33')",1
"('1-0053C', '1-2545C', 'mlg22')",1
"('1-19443', 'mlg71', '1-5214C')",1
"('1-4126', '1-8038', '1-9270C')",1
"('1-5214C', '1-19443', 'mlg71')",1
"('1-5214C', 'mlg71', '1-19443')",1
"('mlg71', '1-19443', '1-5214C')",1
"('mlg71', '1-5214C', '1-19443')",1
"('1-9207', '1-8038', '1-9270C')",1
"('1-9207', '1-9270C', '1-8038')",1
"('1-8038', '1-9207', '1-9270C')",1
"('1-8038', '1-4126', '1-9270C')",1
"('1-8038', '1-9270C', '1-9207')",1
"('1-8038', '1-9270C', '1-4126')",1
"('1-9013', '1-6098C', '1-4169')",1
"('1-4169', '1-9518', '1-9013')",1
"('1-2245', '1-9105', 'mlg77')",1
"('1-4052', '1-0303C', 'mlg75')",1
"('mlg75', '1-4052', 'mlg71')",1
"('mlg75', '1-4052', '1-0303C')",1
"('mlg75', 'mlg71', '1-4052')",1
"('mlg75', 'mlg71', '1-0303C')",1
"('mlg75', '1-0303C', '1-4052')",1
"('mlg75', '1-0303C', 'mlg71')",1
"('1-4052', 'mlg75', 'mlg71')",1
"('1-4052', 'mlg75', '1-0303C')",1
"('1-4052', 'mlg71', 'mlg75')",1
"('1-4052', 'mlg71', '1-0303C')",1
"('1-4052', '1-0303C', 'mlg71')",1
"('1-1165C', '1-9156C', 'mlg41')",1
"('mlg71', 'mlg75', '1-4052')",1
"('mlg71', 'mlg75', '1-0303C')",1
"('mlg71', '1-4052', 'mlg75')",1
"('mlg71', '1-4052', '1-0303C')",1
"('mlg71', '1-0303C', 'mlg75')",1
"('mlg71', '1-0303C', '1-4052')",1
"('1-0303C', 'mlg75', '1-4052')",1
"('1-0303C', 'mlg75', 'mlg71')",1
"('1-0303C', '1-4052', 'mlg75')",1
"('1-0303C', '1-4052', 'mlg71')",1
"('1-1165C', '1-9156C', '1-9356C')",1
"('1-1165C', '1-9356C', '1-9156C')",1
"('1-0303C', 'mlg71', '1-4052')",1
"('1-9356C', '1-9156C', 'mlg41')",1
"('1-1317C', 'mlg75', '1-9753')",1
"('1-1317C', '1-9753', 'mlg75')",1
"('mlg41', '1-9356C', '1-9156C')",1
"('mlg41', '1-9356C', '1-1165C')",1
"('mlg41', '1-9156C', '1-9356C')",1
"('mlg41', '1-9156C', '1-1165C')",1
"('mlg41', '1-1165C', '1-9356C')",1
"('mlg41', '1-1165C', '1-9156C')",1
"('1-9356C', 'mlg41', '1-9156C')",1
"('1-9356C', 'mlg41', '1-1165C')",1
"('1-9356C', '1-9156C', '1-1165C')",1
"('1-1165C', '1-9356C', 'mlg41')",1
"('1-9356C', '1-1165C', 'mlg41')",1
"('1-9356C', '1-1165C', '1-9156C')",1
"('1-9156C', 'mlg41', '1-9356C')",1
"('1-9156C', 'mlg41', '1-1165C')",1
"('1-9156C', '1-9356C', 'mlg41')",1
"('1-9156C', '1-9356C', '1-1165C')",1
"('1-9156C', '1-1165C', 'mlg41')",1
"('1-9156C', '1-1165C', '1-9356C')",1
"('1-1165C', 'mlg41', '1-9356C')",1
"('1-1165C', 'mlg41', '1-9156C')",1
"('1-0303C', 'mlg71', 'mlg75')",1
"('mlg26', '1-8939', '1-1204C')",1
"('1-9753', 'mlg75', '1-1317C')",1
"('1-2410', '1-4117', '1-4169')",1
"('1-4117', '1-2410', '1-4169')",1
"('1-4117', '1-2410', '1-3820')",1
"('1-3820', '1-4169', '1-4117')",1
"('1-3820', '1-4169', '1-2410')",1
"('1-3820', '1-4117', '1-4169')",1
"('1-3820', '1-4117', '1-2410')",1
"('1-3820', '1-2410', '1-4169')",1
"('1-3820', '1-2410', '1-4117')",1
"('1-2410', '1-4169', '1-4117')",1
"('1-2410', '1-4169', '1-3820')",1
"('1-2410', '1-4117', '1-3820')",1
"('1-4117', '1-3820', '1-4169')",1
"('1-2410', '1-3820', '1-4169')",1
"('1-2410', '1-3820', '1-4117')",1
"('mlg50', '1-5694', '1-9286C')",1
"('mlg50', '1-9286C', '1-5694')",1
"('1-5694', 'mlg50', '1-9286C')",1
"('1-5694', '1-9286C', 'mlg50')",1
"('1-9286C', 'mlg50', '1-5694')",1
"('1-9286C', '1-5694', 'mlg50')",1
"('1-9356C', '1-9156C', '1-4319C')",1
"('1-9356C', '1-6181C', '1-4319C')",1
"('1-4117', '1-3820', '1-2410')",1
"('1-4117', '1-4169', '1-2410')",1
"('mlg26', '1-8939', '1-0296C')",1
"('1-1204C', '1-8939', '1-0296C')",1
"('mlg26', '1-1204C', '1-8939')",1
"('mlg26', '1-0296C', '1-8939')",1
"('1-8939', 'mlg26', '1-1204C')",1
"('1-8939', 'mlg26', '1-0296C')",1
"('1-8939', '1-1204C', 'mlg26')",1
"('1-8939', '1-1204C', '1-0296C')",1
"('1-8939', '1-0296C', 'mlg26')",1
"('1-8939', '1-0296C', '1-1204C')",1
"('1-1204C', 'mlg26', '1-8939')",1
"('1-1204C', '1-8939', 'mlg26')",1
"('1-1204C', '1-0296C', '1-8939')",1
"('1-4117', '1-4169', '1-3820')",1
"('1-0296C', 'mlg26', '1-8939')",1
"('1-0296C', '1-8939', 'mlg26')",1
"('1-0296C', '1-8939', '1-1204C')",1
"('1-0296C', '1-1204C', '1-8939')",1
"('1-4169', '1-4117', '1-3820')",1
"('1-4169', '1-4117', '1-2410')",1
"('1-4169', '1-3820', '1-4117')",1
"('1-4169', '1-3820', '1-2410')",1
"('1-4169', '1-2410', '1-4117')",1
"('1-4169', '1-2410', '1-3820')",1
"('1-9753', '1-1317C', 'mlg75')",1
"('mlg75', '1-1317C', '1-9753')",1
"('1-4169', '1-9518', '1-8646C')",1
"('1-3607', '1-7070C', '1-8573C')",1
"('1-6098C', '1-8646C', '1-9013')",1
"('1-6098C', '1-8646C', '1-4169')",1
"('1-8038', '1-10981', '1-4649C')",1
"('1-8038', '1-4649C', '1-10981')",1
"('1-10981', '1-8038', '1-4649C')",1
"('1-10981', '1-4649C', '1-8038')",1
"('1-4649C', '1-8038', '1-10981')",1
"('1-4649C', '1-10981', '1-8038')",1
"('1-3607', '1-8573C', '1-7070C')",1
"('1-3607', '1-8573C', '1-5775C')",1
"('1-3607', '1-7070C', '1-5775C')",1
"('1-6098C', '1-4169', '1-9013')",1
"('1-3607', '1-5775C', '1-8573C')",1
"('1-3607', '1-5775C', '1-7070C')",1
"('1-8573C', '1-3607', '1-7070C')",1
"('1-8573C', '1-3607', '1-5775C')",1
"('1-8573C', '1-7070C', '1-3607')",1
"('1-8573C', '1-7070C', '1-5775C')",1
"('1-8573C', '1-5775C', '1-3607')",1
"('1-8573C', '1-5775C', '1-7070C')",1
"('1-7070C', '1-3607', '1-8573C')",1
"('1-7070C', '1-3607', '1-5775C')",1
"('1-6098C', '1-4169', '1-8646C')",1
"('1-6098C', '1-4169', '1-9518')",1
"('1-7070C', '1-8573C', '1-5775C')",1
"('1-8646C', '1-9518', '1-9013')",1
"('1-4169', '1-9518', '1-6098C')",1
"('1-4169', '1-9013', '1-9518')",1
"('1-4169', '1-9013', '1-8646C')",1
"('1-4169', '1-9013', '1-6098C')",1
"('1-4169', '1-8646C', '1-9518')",1
"('1-4169', '1-8646C', '1-9013')",1
"('1-4169', '1-8646C', '1-6098C')",1
"('1-4169', '1-6098C', '1-9518')",1
"('1-4169', '1-6098C', '1-9013')",1
"('1-4169', '1-6098C', '1-8646C')",1
"('1-8646C', '1-9518', '1-4169')",1
"('1-6098C', '1-9013', '1-8646C')",1
"('1-8646C', '1-9013', '1-9518')",1
"('1-8646C', '1-9013', '1-4169')",1
"('1-8646C', '1-9013', '1-6098C')",1
"('1-8646C', '1-4169', '1-9518')",1
"('1-8646C', '1-4169', '1-9013')",1
"('1-8646C', '1-4169', '1-6098C')",1
"('1-8646C', '1-6098C', '1-9013')",1
"('1-8646C', '1-6098C', '1-4169')",1
"('1-6098C', '1-9518', '1-4169')",1
"('1-6098C', '1-9013', '1-4169')",1
"('1-7070C', '1-8573C', '1-3607')",1
"('1-7070C', '1-5775C', '1-3607')",1
"('mlg75', '1-9753', '1-1317C')",1
"('1-7981', '1-18799', 'mlg53')",1
"('mlg27', 'mlg29', '1-9274')",1
"('mlg27', '1-9274', 'mlg29')",1
"('1-9274', 'mlg29', 'mlg27')",1
"('1-9274', 'mlg27', 'mlg29')",1
"('mlg53', '1-7981', '1-18799')",1
"('mlg53', '1-18799', '1-7981')",1
"('1-8420', '1-7981', '1-18799')",1
"('1-8420', '1-18799', '1-7981')",1
"('1-7981', 'mlg53', '1-18799')",1
"('1-7981', '1-8420', '1-18799')",1
"('1-7981', '1-18799', '1-8420')",1
"('mlg29', 'mlg27', '1-9274')",1
"('1-18799', 'mlg53', '1-7981')",1
"('1-18799', '1-8420', '1-7981')",1
"('1-18799', '1-7981', 'mlg53')",1
"('1-18799', '1-7981', '1-8420')",1
"('mlg26', '1-9207', '1-1258C')",1
"('mlg26', '1-1258C', '1-9207')",1
"('1-9207', 'mlg26', '1-1258C')",1
"('1-9207', '1-1258C', 'mlg26')",1
"('1-1258C', 'mlg26', '1-9207')",1
"('1-1258C', '1-9207', 'mlg26')",1
"('mlg29', '1-9274', 'mlg27')",1
"('1-9156C', '1-2410', '1-3640')",1
"('1-7070C', '1-5775C', '1-8573C')",1
"('1-3640', '1-4975', '1-9156C')",1
"('1-5775C', '1-3607', '1-8573C')",1
"('1-5775C', '1-3607', '1-7070C')",1
"('1-5775C', '1-8573C', '1-3607')",1
"('1-5775C', '1-8573C', '1-7070C')",1
"('1-5775C', '1-7070C', '1-3607')",1
"('1-5775C', '1-7070C', '1-8573C')",1
"('1-4975', '1-3640', '1-9156C')",1
"('1-4975', '1-2410', '1-9156C')",1
"('1-4975', '1-9156C', '1-3640')",1
"('1-4975', '1-9156C', '1-2410')",1
"('1-3640', '1-2410', '1-9156C')",1
"('1-9156C', '1-2410', '1-4975')",1
"('1-3640', '1-9156C', '1-4975')",1
"('1-3640', '1-9156C', '1-2410')",1
"('1-2410', '1-4975', '1-9156C')",1
"('1-2410', '1-3640', '1-9156C')",1
"('1-2410', '1-9156C', '1-4975')",1
"('1-2410', '1-9156C', '1-3640')",1
"('1-9156C', '1-4975', '1-3640')",1
"('1-9156C', '1-4975', '1-2410')",1
"('1-9156C', '1-3640', '1-4975')",1
"('1-9156C', '1-3640', '1-2410')",1
"('1-4966C', '1-8038', 'mlg66')",1
"('1-4966C', 'mlg66', '1-4929C')",1
